Title,Copies sold,As of,Release date,Genre(s),Developer(s),Publisher(s)
Big Brain Academy: Brain vs. Brain,1940000.0,12/31/2022,12/03/2021,Puzzle,"Nintendo EPD, indieszero",Nintendo
Paper Mario: The Thousand-Year Door,1940000.0,09/30/2024,05/23/2024,Role-playing,Intelligent Systems,Nintendo
Xenoblade Chronicles: Definitive Edition,1880000.0,12/31/2022,05/29/2020,Action role-playing,Monolith Soft,Nintendo
Xenoblade Chronicles 3,1860000.0,03/31/2023,07/29/2022,Action role-playing,Monolith Soft,Nintendo
Dragon Ball Xenoverse 2,1820000.0,12/31/2022,09/07/2017,Fighting,Dimps,Bandai Namco Entertainment
Miitopia,1790000.0,12/31/2022,05/21/2021,Role-playing,Grezzo,Nintendo
Mario Kart Live: Home Circuit,1730000.0,12/31/2022,10/16/2020,Kart racingaugmented reality,Velan Studios,Nintendo
Naruto Shippudden: Ultimate Ninja Storm Trilogy,1730000.0,12/31/2022,07/27/2017,Fighting,CyberConnect2,Bandai Namco Entertainment
Fire Emblem Engage,1610000.0,03/31/2023,01/20/2023,Tactical role-playing,Intelligent Systems,Nintendo
Marvel Ultimate Alliance 3: The Black Order,1600000.0,12/31/2022,07/19/2019,Action role-playing,Team Ninja,Nintendo
Luigi's Mansion 2 HD,1570000.0,09/30/2024,06/27/2024,Action-Adventure,Tantalus Media,Nintendo
Pokkén Tournament DX,1540000.0,01/02/2022,09/22/2017,Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo
Resident Evil: Revelations Collection,1500000.0,06/30/2024,11/27/2017,Survival horror,Capcom,Capcom
Kirby's Return to Dream Land Deluxe,1460000.0,03/31/2023,02/24/2023,Platformer,HAL Laboratory,Nintendo
Nintendo Labo Toy-Con 01: Variety Kit,1420000.0,12/31/2020,04/20/2018,Construction kit,Nintendo EPD,Nintendo
WarioWare: Get It Together!,1340000.0,12/31/2022,09/10/2021,Party,Intelligent Systems,Nintendo
Astral Chain,1330000.0,12/31/2022,08/30/2019,Action-adventurehack and slash,PlatinumGames,Nintendo
Princess Peach: Showtime!,1300000.0,06/30/2024,03/22/2024,Action-adventure,Good-Feel,Nintendo
Dr Kawashima's Brain Training for Nintendo Switch,1270000.0,12/31/2022,12/27/2019,Puzzle,"Nintendo EPD, indieszero",Nintendo
Bayonetta,1240000.0,12/31/2022,02/16/2018,Action-adventurehack and slash,PlatinumGames,Nintendo
Bayonetta 2,1230000.0,12/31/2022,02/16/2018,Action-adventurehack and slash,PlatinumGames,Nintendo
Dragon's Dogma: Dark Arisen,1200000.0,09/30/2024,04/23/2019,Role-playing,Capcom,Capcom
Dark Souls Remastered,1150000.0,12/31/2022,10/19/2018,Action role-playing game,FromSoftware,Bandai Namco Entertainment
Game Builder Garage,1150000.0,12/31/2022,06/11/2021,Programming,Nintendo EPD,Nintendo
Mario vs. Donkey Kong,1120000.0,03/31/2024,02/16/2024,Puzzle-platform,Nintendo Software Technology,Nintendo
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,1120000.0,08/18/2024,11/16/2023,Board game,Konami,JP: Konami
Shin Megami Tensei V,1100000.0,12/31/2022,11/11/2021,Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo
Metroid Prime Remastered,1090000.0,03/31/2023,02/08/2023,Action-adventure,Retro Studios,Nintendo
Bayonetta 3,1070000.0,03/31/2023,10/28/2022,Action-adventurehack and slash,PlatinumGames,Nintendo
Mario & Sonic at the Olympic Games Tokyo 2020,1020000.0,03/03/2022,11/01/2019,Sports,Sega,Sega
Dragon Quest Monsters: The Dark Prince,1000000.0,01/17/2024,12/01/2023,Role-playing,Tose,Square Enix
Enter the Gungeon,1000000.0,03/03/2019,12/14/2017,Bullet hell,Dodge Roll,Devolver Digital
Fire Emblem Warriors: Three Hopes,1000000.0,08/17/2022,06/24/2022,Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo
Fitness Boxing,1000000.0,09/08/2020,12/20/2018,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
Fitness Boxing 2: Rhythm and Exercise,1000000.0,12/09/2021,12/04/2020,Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
Resident Evil 6,1000000.0,03/31/2024,10/29/2019,Survival horror,Capcom,Capcom
Story of Seasons: Pioneers of Olive Town,1000000.0,11/18/2021,02/25/2021,Simulationrole-playing,Marvelous,Xseed Games
Thief Simulator,1000000.0,07/16/2021,05/19/2019,Stealth,Noble Muffins,Forever Entertainment
